"","x"
"835","05/11/1995"
"836","05/15/1995"
"837","05/16/1995"
"838","05/17/1995"
"839","05/18/1995"
"840","05/22/1995"
"841","05/23/1995"
"842","05/24/1995"
"843","05/25/1995"
"844","05/31/1995"
"845","06/06/1995"
"846","06/07/1995"
"847","06/08/1995"
"848","06/09/1995"
"849","06/12/1995"
"850","06/13/1995"
"851","06/14/1995"
"852","06/15/1995"
"853","06/19/1995"
"854","06/20/1995"
"855","06/21/1995"
"856","06/22/1995"
"857","06/26/1995"
"858","06/27/1995"
"859","06/28/1995"
"860","06/29/1995"
"861","06/30/1995"
"862","07/03/1995"
"863","07/04/1995"
"864","07/05/1995"
"865","07/06/1995"
"866","07/10/1995"
"867","07/11/1995"
"868","07/12/1995"
"869","07/13/1995"
"870","07/14/1995"
"871","07/17/1995"
"872","07/18/1995"
"873","07/19/1995"
"874","08/12/1995"
"875","10/16/1995"
"876","10/17/1995"
"877","10/18/1995"
"878","10/19/1995"
"879","10/20/1995"
"880","10/23/1995"
"881","10/24/1995"
"882","10/25/1995"
"883","10/26/1995"
"884","10/27/1995"
"885","12/04/1995"
"886","12/05/1995"
"887","12/06/1995"
"888","12/07/1995"
"889","12/08/1995"
"890","12/11/1995"
"891","12/12/1995"
"892","12/13/1995"
"893","12/14/1995"
"894","12/18/1995"
"895","12/19/1995"
"896","12/20/1995"
"897","01/09/1996"
"898","01/10/1996"
"899","01/11/1996"
"900","01/15/1996"
"901","01/16/1996"
"902","01/17/1996"
"903","01/18/1996"
"904","01/19/1996"
"905","01/22/1996"
"906","01/23/1996"
"907","01/24/1996"
"908","01/25/1996"
"909","01/26/1996"
"910","01/29/1996"
"911","01/30/1996"
"912","01/31/1996"
"913","02/01/1996"
"914","02/02/1996"
"915","02/05/1996"
"916","02/06/1996"
"917","02/07/1996"
"918","02/08/1996"
"919","02/09/1996"
"920","02/12/1996"
"921","02/13/1996"
"922","02/14/1996"
"923","02/15/1996"
"924","02/16/1996"
"925","02/19/1996"
"926","02/20/1996"
"927","02/21/1996"
"928","02/22/1996"
"929","02/26/1996"
"930","02/27/1996"
"931","02/28/1996"
"932","02/29/1996"
"933","03/01/1996"
"934","03/04/1996"
"935","03/05/1996"
"936","03/06/1996"
"937","03/07/1996"
"938","03/08/1996"
"939","03/11/1996"
"940","03/12/1996"
"941","03/13/1996"
"942","03/14/1996"
"943","03/18/1996"
"944","03/19/1996"
"945","03/20/1996"
"946","03/21/1996"
"947","03/22/1996"
"948","03/25/1996"
"949","03/26/1996"
"950","03/27/1996"
"951","03/28/1996"
"952","03/29/1996"
"953","04/01/1996"
"954","04/02/1996"
"955","04/03/1996"
"956","04/07/1996"
"957","04/16/1996"
"958","04/17/1996"
"959","04/18/1996"
"960","04/19/1996"
"961","04/22/1996"
"962","04/23/1996"
"963","04/24/1996"
"964","04/25/1996"
"965","04/26/1996"
"966","04/29/1996"
"967","04/30/1996"
"968","05/01/1996"
"969","05/02/1996"
"970","05/20/1996"
"971","05/21/1996"
"972","05/22/1996"
"973","06/04/1996"
"974","06/05/1996"
"975","06/06/1996"
"976","06/07/1996"
"977","06/09/1996"
"978","06/10/1996"
"979","06/11/1996"
"980","06/12/1996"
"981","06/13/1996"
"982","06/17/1996"
"983","06/18/1996"
"984","06/19/1996"
"985","06/20/1996"
"986","06/21/1996"
"987","06/24/1996"
"988","06/25/1996"
"989","06/26/1996"
"990","06/27/1996"
"991","07/01/1996"
"992","07/02/1996"
"993","07/03/1996"
"994","07/04/1996"
"995","07/08/1996"
"996","07/09/1996"
"997","07/10/1996"
"998","07/11/1996"
"999","07/12/1996"
"1000","07/15/1996"
"1001","07/16/1996"
"1002","07/17/1996"
"1003","07/18/1996"
"1004","07/19/1996"
"1005","07/22/1996"
"1006","07/23/1996"
"1007","07/24/1996"
"1008","07/27/1996"
"1009","10/14/1996"
"1010","10/15/1996"
"1011","10/16/1996"
"1012","10/17/1996"
"1013","10/23/1996"
"1014","10/24/1996"
"1015","10/25/1996"
"1016","10/28/1996"
"1017","10/29/1996"
"1018","10/30/1996"
"1019","10/31/1996"
"1020","11/01/1996"
"1021","11/04/1996"
"1022","11/05/1996"
"1023","11/06/1996"
"1024","11/07/1996"
"1025","11/11/1996"
"1026","11/12/1996"
"1027","11/13/1996"
"1028","11/14/1996"
"1029","11/15/1996"
"1030","11/18/1996"
"1031","11/19/1996"
"1032","11/20/1996"
"1033","11/21/1996"
"1034","11/25/1996"
"1035","11/26/1996"
"1036","11/27/1996"
"1037","11/28/1996"
"1038","11/29/1996"
"1039","12/02/1996"
"1040","12/03/1996"
"1041","12/04/1996"
"1042","12/05/1996"
"1043","12/06/1996"
"1044","12/08/1996"
"1045","12/09/1996"
"1046","12/10/1996"
"1047","12/11/1996"
"1048","12/12/1996"
"1049","12/13/1996"
"1050","12/16/1996"
"1051","12/17/1996"
"1052","12/18/1996"
"1053","01/13/1997"
"1054","01/14/1997"
"1055","01/15/1997"
"1056","01/16/1997"
"1057","01/17/1997"
"1058","01/20/1997"
"1059","01/21/1997"
"1060","01/22/1997"
"1061","01/23/1997"
"1062","01/24/1997"
"1063","01/27/1997"
"1064","01/28/1997"
"1065","01/29/1997"
"1066","01/30/1997"
"1067","01/31/1997"
"1068","02/03/1997"
"1069","02/04/1997"
"1070","02/05/1997"
"1071","02/06/1997"
"1072","02/07/1997"
"1073","02/10/1997"
"1074","02/11/1997"
"1075","02/12/1997"
"1076","02/13/1997"
"1077","02/14/1997"
"1078","02/17/1997"
"1079","02/18/1997"
"1080","02/19/1997"
"1081","02/20/1997"
"1082","02/24/1997"
"1083","02/25/1997"
"1084","02/26/1997"
"1085","02/27/1997"
"1086","02/28/1997"
"1087","03/03/1997"
"1088","03/04/1997"
"1089","03/05/1997"
"1090","03/06/1997"
"1091","03/10/1997"
"1092","03/11/1997"
"1093","03/12/1997"
"1094","03/13/1997"
"1095","03/17/1997"
"1096","03/18/1997"
"1097","03/19/1997"
"1098","03/20/1997"
"1099","03/21/1997"
"1100","04/12/1997"
"1101","05/07/1997"
"1102","05/08/1997"
"1103","05/09/1997"
"1104","05/13/1997"
"1105","05/14/1997"
"1106","05/15/1997"
"1107","05/16/1997"
"1108","05/19/1997"
"1109","05/20/1997"
"1110","05/21/1997"
"1111","05/22/1997"
"1112","06/02/1997"
"1113","06/03/1997"
"1114","06/04/1997"
"1115","06/05/1997"
"1116","06/06/1997"
"1117","06/09/1997"
"1118","06/10/1997"
"1119","06/11/1997"
"1120","06/12/1997"
"1121","06/16/1997"
"1122","06/17/1997"
"1123","06/18/1997"
"1124","06/19/1997"
"1125","06/20/1997"
"1126","06/23/1997"
"1127","06/24/1997"
"1128","06/25/1997"
"1129","06/26/1997"
"1130","06/27/1997"
"1131","06/30/1997"
"1132","07/01/1997"
"1133","07/02/1997"
"1134","07/03/1997"
"1135","07/04/1997"
"1136","07/07/1997"
"1137","07/08/1997"
"1138","07/09/1997"
"1139","07/10/1997"
"1140","07/11/1997"
"1141","07/14/1997"
"1142","07/15/1997"
"1143","07/16/1997"
"1144","07/17/1997"
"1145","07/18/1997"
"1146","07/21/1997"
"1147","07/22/1997"
"1148","07/23/1997"
"1149","07/24/1997"
"1150","07/25/1997"
"1151","07/28/1997"
"1152","07/29/1997"
"1153","07/30/1997"
"1154","07/31/1997"
"1155","09/24/1997"
"1156","10/27/1997"
"1157","10/28/1997"
"1158","10/29/1997"
"1159","10/30/1997"
"1160","11/03/1997"
"1161","11/04/1997"
"1162","11/05/1997"
"1163","11/06/1997"
"1164","11/07/1997"
"1165","11/10/1997"
"1166","11/11/1997"
"1167","11/12/1997"
"1168","11/13/1997"
"1169","11/14/1997"
"1170","11/17/1997"
"1171","11/18/1997"
"1172","11/19/1997"
"1173","11/20/1997"
"1174","11/21/1997"
"1175","11/24/1997"
"1176","11/25/1997"
"1177","11/26/1997"
